instrument_cclw,instrument_cpr
Capacity-building - general,Capacity building (general)
Building codes,Standards and obligations
Climate fund,Finance
Creating bodies and institutions,Creating bodies and institutions
Designing processes,Designing processes
Developing plans and strategies,Developing plans and strategies
Disclosure obligations,Standards and obligations
Ecosystem restoration and nature based solutions,Ecosystem restoration and nature-based solutions
Education and training,Knowledge sharing and dissemination
Governance and Planning,Governance and planning (general)
Incentives,Incentives (general)
Insurance,Insurance
International cooperation,International cooperation
Knowledge generation,Knowledge generation
Knowledge sharing and dissemination,Knowledge sharing and dissemination
Monitoring and evaluation,Monitoring and evaluation
"Monitoring, Reporting, Verification","Monitoring, reporting, verification"
Multi-level governance,Multi-level governance
Provision of climate finance,Finance
Public goods - early warning systems,Public goods
Public goods - other,Public goods
Regulation,Regulation (general)
Research and development,Knowledge generation
Social safety nets,Infrastructure
Standards and obligations,Standards and obligations
Subsidies,Fiscal or financial incentives
Taxes,Fiscal or financial incentives
Zoning and spatial planning,Management and planning
