sector_cclw,sector_cpr
Adaptation,Adaptation
Agriculture,Agriculture (general)
Buildings,Buildings (general)
Coastal zones,Coastal zones
Cross Cutting Area,Cross-cutting area
Disaster Risk Management (Drm),Disaster risk management
Economy-wide,Economy-wide
Energy,Energy (general)
Environment,Environment
Finance,Finance
Health,Health
Industry,Industry
LULUCF,"Land use, land use change and forestry (LULUCF)"
Other,Other
Public Sector,Public sector
Residential and Commercial,Buildings (general)
Rural,Rural
Social development,Social development
Tourism,Tourism
Transport,Transport (general)
Transportation,Transport (general)
Urban,Urban
Waste,Waste
Water,Water
